"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.009725704,-0.082758943,0.044122317,-0.040430431,-0.0015411556,0.0042478796,0.030938666,0.097500845,0.0030449763,0.011728031,-0.0056694293,0.014092161,0.096536467,0.091010141,107,2
-0.0099622478,-0.1497848,0.04736014,2.2708561e-05,0.10785702,0.018330733,0.010007953,0.16563529,0.0024141686,-0.027804026,-0.015683059,0.019686126,0.15094528,0.2147407,108,2
-0.0093356972,-0.16671855,0.082696232,-0.038703619,0.1235792,-0.0047840258,0.072504124,0.086457482,0.0047966763,0.0097320119,-0.03022621,0.016998359,0.033422102,0.054074894,109,2
-0.010054319,-0.1449758,0.066292883,-0.0031416202,0.1256654,0.070948112,0.05053295,0.11685229,0.0025580659,0.062022943,-0.028932801,0.026407374,0.099621114,0.15051958,110,2
-0.0063624942,-0.16649913,0.068652715,0.016635466,0.14514496,0.074874525,0.052464323,0.11480264,3.4035327e-05,0.089913195,-0.025577344,0.023274455,0.062097367,0.089769805,111,2
0.0007159787,-0.11883478,0.030428467,-0.0053830907,0.065533707,-0.014894585,0.22233033,-0.066129406,-0.0017503247,0.16171442,-0.025400412,0.011431347,-0.023059863,0.086156942,112,2
-0.013847767,-0.13591052,0.059353941,-0.017825037,0.15165817,0.053230071,-0.15945905,0.084231543,0.0048534662,0.055612591,-0.029227508,0.026763202,0.24013347,0.28759607,113,2
-0.013596694,-0.16373193,0.055777584,0.0024360402,0.09347276,0.016420139,-0.18117442,0.10635214,-0.00021436759,0.037746721,-0.03099323,0.020437939,0.19132651,0.2558181,114,2
0.0018988763,-0.095549666,0.032313049,-0.030432518,0.15259529,0.0087842612,0.16383528,0.063616436,0.0037622228,0.012155073,-0.019201991,0.01716669,0.010744603,0.13924596,115,2
-0.01366871,-0.16516231,0.057181575,0.0098399257,-0.0060517609,0.084373112,0.039474114,0.16776772,0.0056851567,0.074869789,-0.040726176,0.02246387,0.029542233,0.13551006,116,2
0.0053695086,-0.15004097,0.044241101,-0.02126782,0.016359706,0.051157618,0.0027113822,-0.002523982,0.0043212574,0.084227301,-0.025561463,0.017428818,0.16910924,0.058087294,117,2
-0.014788472,-0.097957747,0.038258905,0.00473109,0.11502458,-0.015652908,0.075563971,0.13658736,0.0045249163,0.041110344,-0.024831133,0.017824183,-0.037583742,0.19102872,118,2
0.0032342872,-0.098087194,0.020932632,-0.012471239,-0.012387686,0.037307512,-0.029393115,0.1123575,0.0022756044,0.035277308,-0.019916016,0.018528093,0.099003148,0.28200979,119,2
-0.0098780553,-0.047590701,0.025533397,-0.021821084,0.013781332,0.027904439,-0.090059773,0.16424226,0.0067958325,0.095151898,-0.020428854,0.020665542,0.060752967,0.33697498,120,2
-0.011467036,-0.082901637,0.015941546,-0.018217024,0.018518323,-0.0065205782,-0.080949723,0.17410134,0.0026386144,0.0030551566,-0.018782915,0.012290611,0.10215479,0.2578047,121,2
-0.0046739868,-0.14595764,0.055386927,-0.024141171,0.17681849,0.076735488,0.05637561,0.0063922914,0.0019361434,0.13786081,-0.018172249,0.012195227,-0.014241868,0.13177727,122,2
-0.0077095892,-0.10737383,0.028650809,-0.021191922,0.15321109,0.054322307,0.017067751,0.11578986,-0.0040085667,-0.024233753,-0.022251785,0.013206318,0.16052933,0.16199585,123,2
-0.0017683454,-0.11676299,0.0364572,-0.028432013,0.11196988,0.022597469,-0.026916028,0.11749821,-0.0022539621,0.048305021,-0.022588651,0.008609203,0.10063821,0.25177775,124,2
-0.013629774,-0.15334004,0.066979566,-0.012198553,0.19454184,-0.034666278,0.1899112,-0.011219715,-0.00041242766,0.048514089,-0.013866768,0.015119612,-0.016290347,0.12477889,125,2
0.00081802797,-0.10268523,0.017039244,-0.01457655,0.018438218,0.20850775,-0.11323868,-0.073484338,0.0040021635,0.25343252,-0.024600831,0.014372545,0.1875299,0.29757362,126,2
-0.014239906,-0.096850504,0.055818442,-0.0056735691,0.082099561,-0.06788185,-0.050406215,-0.11862782,0.0017102964,0.29200645,-0.014212094,0.010537682,0.16945702,0.27516129,127,2
-0.0065831243,-0.14035526,0.017563706,-0.020442211,0.091607048,0.12848843,0.082033344,0.16376366,-0.0050110497,-0.10527269,-0.0218732,0.020364636,0.011658056,0.15620507,128,2
-0.0047293766,-0.10056114,0.033123151,-0.020157088,0.17326196,-0.034543114,0.087750226,0.12492997,0.0021106468,0.042190878,-0.029806175,0.024385013,0.040414455,0.077686102,129,2
-0.0080972077,-0.10577216,0.068561816,-0.019894993,0.1040309,0.027536044,0.023649417,0.12055514,0.00037388565,-0.070426168,-0.038535931,0.022254733,0.12176516,0.11470026,130,2
-0.0034770857,-0.10388626,0.014150142,0.0014560165,0.038887407,0.040998091,0.15240998,-0.039126678,0.0037453378,0.051524938,-0.00049227777,0.010938712,-0.0050277218,0.18201995,131,2
-0.0096862099,-0.13879325,0.061069352,-0.032972425,0.25368134,-0.0068610819,-0.20456394,0.12784164,-0.0023821578,0.037733295,-0.036630833,0.015682549,0.21688695,0.25585535,132,2
-0.010523608,-0.11890281,0.022871092,-0.00045342368,0.0062638272,0.10349251,0.07469189,0.098005847,0.0052566192,0.10775887,-0.010651479,0.0028324432,-0.058033536,0.089936886,133,2
-0.0088175216,-0.11830777,0.019686597,-0.0024477296,0.00084975319,0.11746602,0.076925537,0.10484586,0.0040569802,0.1216709,-0.010631553,0.00097879242,-0.055828258,0.10872715,134,2
-0.0054289145,-0.13460082,0.058672344,-0.037770421,0.1840572,0.062337277,-0.1271576,0.091153449,-0.0019914201,0.057066735,-0.030595633,0.027919202,0.25759667,0.30611337,135,2
-0.0072592569,-0.11843625,0.043485117,0.007877196,0.17227392,0.1717885,-0.025951388,0.04633047,0.0037658557,0.041603441,-0.032745382,0.014782981,0.17581535,0.16282955,136,2
-0.0062710523,-0.10804059,0.055158284,-0.035707744,0.015989123,-0.059347276,0.039402683,0.090848135,0.0044132166,0.01344775,-0.0027593604,0.0025474189,0.041613178,0.15653125,137,2
-0.0070515134,-0.14738974,0.026445883,0.020176631,0.15452494,0.079776352,0.015021631,-0.0074851211,-0.00032262961,0.055597251,-0.030593722,0.016076336,0.06404407,0.10886214,138,2
-0.0069125624,-0.078876084,0.048693828,0.010884207,0.037200245,-0.014581814,0.049486543,0.15039088,0.0081160438,-0.0046912167,-0.014954542,0.016889913,0.065634626,0.060380717,139,2
